timestamp,iteration,videos_count,anomalies_count,top_category,avg_engagement
2025-11-18 10:35:24.091119,1,50,46,Music,5.496434002447266
2025-11-18 10:40:24.884691,2,50,46,Music,5.494554149953552
2025-11-18 10:45:24.438770,3,50,46,Music,5.480473613739818
